Benchmark                                                Mode  Cnt         Score         Error  Units
AssociateBy.associateBy_100000_rec_collection            avgt   25   5740329.968 ±  352628.676  ns/op
AssociateBy.associateBy_100000_rec_sequence              avgt   25   4227119.016 ±  341842.412  ns/op
AssociateBy.associateBy_10000_rec_collection             avgt   25    185895.157 ±    4101.472  ns/op
AssociateBy.associateBy_10000_rec_sequence               avgt   25    162987.731 ±    3789.025  ns/op
AssociateBy.associateBy_1000_rec_collection              avgt   25     15101.748 ±     181.977  ns/op
AssociateBy.associateBy_1000_rec_sequence                avgt   25     12031.268 ±     226.545  ns/op
AssociateBy.associateBy_100_rec_collection               avgt   25      1470.277 ±      31.559  ns/op
AssociateBy.associateBy_100_rec_sequence                 avgt   25      1017.968 ±      23.701  ns/op
AssociateBy.associateBy_50000_rec_collection             avgt   25   2024940.448 ±   91962.564  ns/op
AssociateBy.associateBy_50000_rec_sequence               avgt   25   1083518.297 ±   51339.164  ns/op
Chunked.chunked_100000_rec_collection                    avgt   25    976600.401 ±   73489.036  ns/op
Chunked.chunked_100000_rec_sequence                      avgt   25    893168.419 ±   46911.962  ns/op
Chunked.chunked_100000_rec_stream                        avgt   25   2596982.263 ±  165313.587  ns/op
Chunked.chunked_10000_rec_collection                     avgt   25     68128.883 ±    1389.453  ns/op
Chunked.chunked_10000_rec_sequence                       avgt   25     65190.542 ±    2417.298  ns/op
Chunked.chunked_10000_rec_stream                         avgt   25    169257.022 ±    3236.776  ns/op
Chunked.chunked_1000_rec_collection                      avgt   25      6999.397 ±     184.831  ns/op
Chunked.chunked_1000_rec_sequence                        avgt   25      7246.026 ±     176.815  ns/op
Chunked.chunked_1000_rec_stream                          avgt   25     17880.399 ±     462.216  ns/op
Chunked.chunked_100_rec_collection                       avgt   25      1019.704 ±      31.774  ns/op
Chunked.chunked_100_rec_sequence                         avgt   25      1400.553 ±      46.477  ns/op
Chunked.chunked_100_rec_stream                           avgt   25      3182.831 ±     124.551  ns/op
Chunked.chunked_50000_rec_collection                     avgt   25    383600.263 ±   15777.057  ns/op
Chunked.chunked_50000_rec_sequence                       avgt   25    395857.197 ±   13421.476  ns/op
Chunked.chunked_50000_rec_stream                         avgt   25   1012873.700 ±   43525.204  ns/op
Crazy.crazy_100000_rec_collection                        avgt   25  19450575.577 ±  615993.492  ns/op
Crazy.crazy_100000_rec_sequence                          avgt   25  21293353.769 ±  875307.308  ns/op
Crazy.crazy_100000_rec_sequence_opt                      avgt   25  20224790.132 ±  829750.110  ns/op
Crazy.crazy_100000_rec_stream                            avgt   25  19769279.938 ±  725374.856  ns/op
Crazy.crazy_10000_rec_collection                         avgt   25   1101904.899 ±   20305.206  ns/op
Crazy.crazy_10000_rec_sequence                           avgt   25   1177884.250 ±   21378.097  ns/op
Crazy.crazy_10000_rec_sequence_opt                       avgt   25   1183093.756 ±   26730.876  ns/op
Crazy.crazy_10000_rec_stream                             avgt   25   1113685.143 ±   25183.041  ns/op
Crazy.crazy_1000_rec_collection                          avgt   25     51637.438 ±    1151.783  ns/op
Crazy.crazy_1000_rec_sequence                            avgt   25     57910.843 ±    2032.100  ns/op
Crazy.crazy_1000_rec_sequence_opt                        avgt   25     56088.491 ±    1302.239  ns/op
Crazy.crazy_1000_rec_stream                              avgt   25     54133.851 ±    1229.165  ns/op
Crazy.crazy_100_rec_collection                           avgt   25      3823.377 ±     110.127  ns/op
Crazy.crazy_100_rec_sequence                             avgt   25      4318.998 ±     139.443  ns/op
Crazy.crazy_100_rec_sequence_opt                         avgt   25      4134.076 ±     104.508  ns/op
Crazy.crazy_100_rec_stream                               avgt   25      4335.859 ±     121.357  ns/op
Crazy.crazy_50000_rec_collection                         avgt   25   7484486.865 ±  217526.513  ns/op
Crazy.crazy_50000_rec_sequence                           avgt   25   7542403.728 ±  180515.521  ns/op
Crazy.crazy_50000_rec_sequence_opt                       avgt   25   7768917.393 ±  224241.626  ns/op
Crazy.crazy_50000_rec_stream                             avgt   25   7604822.283 ±  222800.311  ns/op
Crazy_old.crazy_10_percentage_100000_rec_collection      avgt   25   4217849.797 ±  374052.171  ns/op
Crazy_old.crazy_10_percentage_100000_rec_sequence        avgt   25   7303984.427 ± 1051020.091  ns/op
Crazy_old.crazy_10_percentage_100000_rec_stream          avgt   25  21528748.474 ± 1916329.670  ns/op
Crazy_old.crazy_10_percentage_10000_rec_collection       avgt   25    250117.675 ±    6245.549  ns/op
Crazy_old.crazy_10_percentage_10000_rec_sequence         avgt   25    272194.203 ±   11602.018  ns/op
Crazy_old.crazy_10_percentage_10000_rec_stream           avgt   25    350849.679 ±   10334.716  ns/op
Crazy_old.crazy_10_percentage_1000_rec_collection        avgt   25     22870.671 ±     660.662  ns/op
Crazy_old.crazy_10_percentage_1000_rec_sequence          avgt   25     23769.727 ±     530.621  ns/op
Crazy_old.crazy_10_percentage_1000_rec_stream            avgt   25     29085.247 ±     780.605  ns/op
